Molecule,MMP_EM_All,MMP_EM_Csat,MMP_EM_Cuns,MMP_EM_Hal,MMP_EM_Het,MMP_EM_HetNoX,MMP_PKJ_All,MMP_PKJ_Csat,MMP_PKJ_Cuns,MMP_PKJ_Hal,MMP_PKJ_Het,MMP_PKJ_HetNoX,MMP_vdWA_All,MMP_vdWA_Csat,MMP_vdWA_Cuns,MMP_vdWA_Hal,MMP_vdWA_Het,MMP_vdWA_HetNoX,MMP_AC2P_All,MMP_AC2P_Csat,MMP_AC2P_Cuns,MMP_AC2P_Hal,MMP_AC2P_Het,MMP_AC2P_HetNoX
CMP1,2.47398013906589,0.960431439971344,0,0,0.827167066441866,0.827167066441866,1080.7116845245,351.258205568823,0,0,431.185794542433,431.185794542433,78.9131426677113,34.7954997629061,0,0,22.4597046327445,22.4597046327445,2.82720251969443,2.64514350234059,0,0,0.0120356606916675,0.0120356606916675
CMP2,2.61375029499818,0.568913250668863,0.465627359903265,0.183002972553423,0.586412891037423,0.135662031785389,1304.97991074661,192.260076484371,145.600250976543,263.808228927485,572.468543196734,67.6019545464276,84.9668017583836,19.8282926857574,16.6065847825368,4.95821032668129,15.6133786583156,3.59621886854283,3.12959663377807,0.884181735915989,0.859579514977788,0.181112414620701,0.208053737449116,0.0015330571568201
CMP3,2.60303931515481,0.878798415588366,0,0.273899633141809,0.892462740988682,0.20801552999327,1411.94069692564,247.728788836498,0,365.195967984318,798.954802355632,95.0006970436182,82.8442836852308,32.3511494343409,0,7.56253004382649,24.2433781808652,5.62994210383487,2.94444616392412,2.07953368443681,0,0.299854206333816,0.34491390079457,0.00256405698848335

